Rent,Address,Zip,num_bedrooms,num_bathrooms,num_sqft
"$2,950",170 Bayview Avenue,M5A,2,2,
"$1,900",30 Nelson Street,M5V,1,1,544
"$2,000",628 Fleet Street,M5V,1,1,
"$2,000",12 York Street,M5J,1,1,
"$2,700",500 Sherbourne Street,M4X,2,2,
"$2,600",106 Dovercourt Road,M6J,1,1,600
"$3,000",156 Portland Street,M5V,1,1,780
"$3,885",48 Saint David Street,M5A,3,3,
"$2,200",438 Richmond Street West,M5V,1,1,
"$2,300",18 Yonge Street,M5E,1,2,735
"$2,500",18 Yonge Street,M5E,1,2,750
"$2,700",55 Bremner Boulevard,M5J,1,1,650
"$2,100",365 Church Street,M5B,1,1,
"$2,450",111 Elizabeth Street,M5G,1,1,
"$2,550",111 Elizabeth Street,M5G,1,2,678
"$2,800",609 Avenue Road,M4V,2,2,636
"$2,100",20 Bruyeres Mews,M5V,1,1,
"$3,050",25 Oxley Street,M5V,2,2,
"$2,550",21 Widmer Street,M5V,1,1,600
"$2,600",1 Market Street,M5E,2,1,800
"$2,200",11 Wellesley Street West,M4Y,1,1,
"$3,985",1990 Bloor Street West,M8X,2,2,
"$2,200",410 Queens Quay West,M5V,1,1,
"$2,350",501 Saint Clair Avenue West,M5R,1,2,649
"$2,100",101 Peter Street,M5V,1,1,
"$2,350",7 Grenville Street,M4Y,1,2,
"$2,150",209 Fort York Boulevard,M5V,1,1,650
"$2,250",100 Harbour Street,M5J,1,1,
"$1,850",200 Dundas Street East,M5A,1,1,480
"$2,200 - $2,300",77 Shuter Street,M5B,1,1 ½,550-650
"$2,600",525 Adelaide Street West,M5V,2,2,765
"$2,050",15 Grenville Street,M4Y,1,1,
"$1,830",115 Blue Jays Way,M5V,1,1,499
"$2,000",140 Simcoe Street,M5H,1,0 ½,700
"$2,100",251 Jarvis Street,M5B,2,1,650
"$2,300",1 King Street West,M5C,1,1,
"$2,680",100 Harbour Street,M5J,2,2,
"$4,900",151 Avenue Road,M5R,2,3,1244
"$2,200",110 Charles Street East,M4Y,1,1,584
"$1,995",150 Sudbury Street,M6J,1,1,665
"$3,200",510 King Street East,M5A,2,2,
"$2,000",1 Shaw Street,M6K,1,1,
"$1,899",1030 King Street West,M6K,1,1,565
"$2,580",300 Front Street West,M5V,1,1,
"$2,000",8 Eglinton Avenue East,M4P,1,1,
"$1,895",111 Bathurst Street,M5V,1,1,
"$1,895",111 Bathurst Street,M5V,1,1,525
"$2,850",12 Yonge Street,M5E,2,2,
"$2,380",17 Dundonald Street,M4Y,1,1,700
"$2,050",560 Front Street West,M5V,1,1,560
"$2,180",3 Navy Wharf Court,M5V,1,1,
"$3,000",12 Yonge Street,M5E,2,2,
"$2,200",170 Sumach Street,M5A,1,1,615
"$2,000",251 Jarvis Street,M5B,1,1,
"$2,850",251 Jarvis Street,M5B,2,2,750
"$1,850",251 Jarvis Street,M5B,1,1,
"$2,250",832 Bay Street,M5S,1,1,
"$2,150",501 Adelaide Street West,M5V,1,1,
"$2,795",609 Avenue Road,M4V,2,2,635
"$2,500",120 Homewood Avenue,M4Y,1,1,600
"$2,450",21 Iceboat Terrace,M5V,1,1,
"$2,100",161 Roehampton Avenue,M4P,1,1,
"$2,000",115 Blue Jays Way,M5V,1,1,
"$2,380",168 Simcoe Street,M5H,1,1,
"$3,100",8 The Esplanade,M5E,2,2,
"$1,800",80 Saint Patrick Street,M5T,1,1,
"$2,200",181 Dundas Street East,M5A,2,1,
"$1,750 - $2,050",38 Cameron Street,M5T,1,1 - 1 ½,521-654
"$2,000",185 Roehampton Avenue,M4P,1,1,
"$2,750",120 Bayview Avenue,M5A,2,2,1040
"$3,375",25 Broadway Ave,M4P,2,2,1197
"$1,895 - $3,875",1 Edgewater Drive,M5A,1 - 2,1 - 2 ½,466-1119
"$2,850",12 York Street,M5J,2,2,
"$2,150",251 Jarvis Street,M5B,1,1,
"$2,600",88 Blue Jays Way,M5V,1,1,
"$3,200",18 Yonge Street,M5E,2,2,
"$2,650",1410 Dupont Street,M6H,2,2,935
"$2,100",1 Cole Street,M5A,1,2,767
"$2,140",15 Fort York Boulevard,M5V,1,1,550
"$3,300",1 Bloor Street East,M4W,2,2,
"$1,900",155 Yorkville Avenue,M5R,1,1,430
"$1,800",494 Avenue Road,M4V,1,1,
"$1,100",81 Navy Wharf Court,M5V,1,1,500
"$1,800",251 Jarvis Street,M5B,1,1,
"$1,850",909 Bay Street,M5S,1,1,500
"$2,000",170 Bayview Avenue,M5A,1,1,527
"$1,950",101 Peter Street,M5V,1,1,
"$2,695",60 Colborne Street,M5E,1,2,
"$2,650",1410 Dupont Street,M6H,2,2,871
"$2,100",386 Yonge Street,M5G,1,1,
"$1,900",4 Spadina Avenue,M5V,1,1,585
"$2,450",375 King Street West,M5V,1,1,717
"$2,000",1030 King Street West,M6K,1,1,495
"$2,450",27 Bathurst Street,M5V,1,2,
"$2,250",28 Ted Rogers Way,M4Y,1,1,
"$2,650",151 Dan Leckie Way,M5V,2,2,
"$2,000",75 Queens Wharf Road,M5V,1,1,
"$2,050",75 Queens Wharf Road,M5V,1,1,
"$2,380",16 Bonnycastle Street,M5A,1,1,644
"$2,995",25 Carlton Street,M5B,2,2,890
"$2,880",151 Dan Leckie Way,M5V,2,2,
"$2,000",576 Front Street West,M5V,1,1,521
"$2,700",125 Peter Street,M5V,2,1,680
"$2,300",75 Queens Wharf Road,M5V,1,1,
"$2,100",11 Wellesley Street West,M4Y,1,1,
"$2,400",36 Lisgar Street,M6J,2,2,560
"$2,230",85 East Liberty Street,M6K,1,1,600
"$2,550",88 Broadway Avenue,M4P,2,2,
"$3,499",95 Prince Arthur Avenue,M5R,2,2,
"$3,100",11 Wellesley Street West,M4Y,2,2,725
"$3,500",386 Yonge Street,M5G,2,2,
"$1,950",3 Navy Wharf Court,M5V,1,1,620
"$2,000",386 Yonge Street,M5G,1,1,
"$3,500",197 Yonge Street,M5B,3,2,882
"$1,899",115 Blue Jays Way,M5V,1,1,456
"$2,980",60 Berwick Avenue,M5P,2,2,
"$1,995",167 Bleecker Street,M4X,1,1,700
