postal_code,cluster_labels,geocode_lat,geocode_lng,address,num_sqft,rent,num_bathrooms,price_per_sqft,metro_station,train_station,bus_station,bus_stop,shopping_mall,shopping_plaza,grocery_store
M2N,1,43.7681452,-79.3907804,"21 Clairtrell Road, Toronto",601.0,1950.0,1.0,3.24459234608985,1954,13792,2894,3569,6883,6456,1715
M2N,1,43.768759571487735,-79.3895288370071,"399 Spring Garden Avenue, Toronto",650.0,2050.0,1.0,3.1538461538461537,1846,13857,3000,3485,7003,6343,1814
M2N,1,43.76143635,-79.40881657346492,"33 Sheppard Avenue East, Toronto",550.0,1900.0,1.0,3.4545454545454546,230,13194,1852,4947,5338,7938,852
M2N,1,43.768759571487735,-79.3895288370071,"399 Spring Garden Avenue, Toronto",620.0,1990.0,1.0,3.2096774193548385,1846,13857,3000,3485,7003,6343,1814
M2N,1,43.7661991,-79.4151195,"155 Beecroft Road, Toronto",530.0,2080.0,1.0,3.9245283018867925,260,13803,2468,5476,5449,7900,371
M2N,1,43.76072535,-79.40865915,"23 Sheppard Avenue East, Toronto",559.0,2300.0,1.0,4.114490161001789,271,13114,1772,4936,5287,7990,932
M2N,1,43.77833142222222,-79.41537371111112,"5508 Yonge Street, Toronto",570.0,1950.0,1.0,3.4210526315789473,288,15136,288,5776,6605,7044,1101
M2N,1,43.77492245,-79.41388068866856,"5 Northtown Way, Toronto",600.0,1950.0,1.0,3.25,674,14742,674,5551,6328,7180,704
M2N,1,43.77851925,-79.41324896126979,"18 Holmes Avenue, Toronto",643.0,2150.0,1.0,3.343701399688958,306,15128,306,5622,6703,6894,1094
M2N,1,43.76072535,-79.40865915,"23 Sheppard Avenue East, Toronto",600.0,1850.0,1.0,3.0833333333333335,271,13114,1772,4936,5287,7990,932
M2N,1,43.77833142222222,-79.41537371111112,"5508 Yonge Street, Toronto",500.0,2100.0,1.0,4.2,288,15136,288,5776,6605,7044,1101
M3A,1,43.7628396,-79.3453792,"18 Graydon Hall Drive, Toronto",550.0,1850.0,1.0,3.3636363636363638,1433,13535,5328,195,9583,5867,5018
M3B,3,43.737736850000005,-79.34574277695572,"205 The Donway West, Toronto",580.0,1950.0,1.0,3.3620689655172415,10680,10822,4973,2675,8713,8661,8875
M3C,3,43.7298729,-79.3273349,"5 Concorde Place, Toronto",655.0,1990.0,1.0,3.0381679389312977,10359,10527,4965,3893,10099,9635,8663
M3C,0,43.650822,-79.3968672,"Sonic Way, Toronto",650.0,1850.0,2.0,2.8461538461538463,1450,1315,1170,617,1368,18814,1850
M3C,3,43.730669,-79.32729961616161,"7 Concorde Place, Toronto",650.0,1850.0,1.0,2.8461538461538463,10441,10609,2292,3814,10106,9548,8742
M3C,0,43.650822,-79.3968672,"Sonic Way, Toronto",650.0,1850.0,2.0,2.8461538461538463,1450,1315,1170,617,1368,18814,1850
M3C,0,43.650822,-79.3968672,"Sonic Way, Toronto",650.0,1850.0,2.0,2.8461538461538463,1450,1315,1170,617,1368,18814,1850
M3C,0,43.650822,-79.3968672,"Sonic Way, Toronto",650.0,1870.0,2.0,2.876923076923077,1450,1315,1170,617,1368,18814,1850
M3C,3,43.7114315,-79.333334909332,"725 Don Mills Road, Toronto",780.0,1690.0,1.0,2.1666666666666665,8301,8476,3225,3106,7391,11623,6660
M3C,3,43.7237177,-79.3398607,"789 Don Mills Road, Toronto",475.0,1800.0,1.0,3.789473684210526,9340,9497,4676,4274,9082,10228,7594
M3C,0,43.650822,-79.3968672,"Sonic Way, Toronto",550.0,1900.0,1.0,3.4545454545454546,1450,1315,1170,617,1368,18814,1850
M3C,3,43.7198321,-79.3368234,"1185 Eglinton Avenue East, Toronto",650.0,1800.0,2.0,2.769230769230769,9029,9193,4179,4740,8080,10671,7316
M3C,3,43.7198321,-79.3368234,"1185 Eglinton Avenue East, Toronto",500.0,1775.0,1.0,3.55,9029,9193,4179,4740,8080,10671,7316
M3C,3,43.7356069,-79.3469098,"99 The Donway West, Toronto",644.0,2300.0,1.0,3.5714285714285716,10427,10568,4924,2909,8586,8900,8621
M3C,3,43.7298729,-79.3273349,"5 Concorde Place, Toronto",815.0,2100.0,1.0,2.576687116564417,10359,10527,4965,3893,10099,9635,8663
M3C,3,43.7216923,-79.334282,"18 Ferrand Drive, Toronto",500.0,1900.0,1.0,3.8,9300,9466,4278,4579,8356,10479,7596
M3C,3,43.7216923,-79.334282,"18 Ferrand Drive, Toronto",589.0,1800.0,1.0,3.0560271646859083,9300,9466,4278,4579,8356,10479,7596
M3C,0,43.650822,-79.3968672,"Sonic Way, Toronto",650.0,1800.0,2.0,2.769230769230769,1450,1315,1170,617,1368,18814,1850
M3C,0,43.650822,-79.3968672,"Sonic Way, Toronto",650.0,1850.0,1.0,2.8461538461538463,1450,1315,1170,617,1368,18814,1850
M3C,0,43.650822,-79.3968672,"Sonic Way, Toronto",650.0,1875.0,1.0,2.8846153846153846,1450,1315,1170,617,1368,18814,1850
M3C,0,43.650822,-79.3968672,"Sonic Way, Toronto",650.0,1900.0,2.0,2.923076923076923,1450,1315,1170,617,1368,18814,1850
M3C,3,43.7108234,-79.3349243,"735 Don Mills Road, Toronto",650.0,1875.0,1.0,2.8846153846153846,8183,8357,3235,2979,7267,11682,6533
M3C,3,43.720254999999995,-79.33611040869565,"24 Ferrand Drive, Toronto",625.0,2075.0,1.0,3.32,9094,9259,4195,4705,8147,10628,7385
M3C,3,43.730669,-79.32729961616161,"7 Concorde Place, Toronto",650.0,1900.0,1.0,2.923076923076923,10441,10609,2292,3814,10106,9548,8742
M3C,3,43.7216923,-79.334282,"20 Ferrand Drive, Toronto",640.0,2050.0,1.0,3.203125,9300,9466,4278,4579,8356,10479,7596
M3C,3,43.7198321,-79.3368234,"1185 Eglinton Avenue East, Toronto",500.0,1775.0,1.0,3.55,9029,9193,4179,4740,8080,10671,7316
M3C,3,43.7208085,-79.3386846,"825 Don Mills Road, Toronto",663.0,2100.0,2.0,3.167420814479638,9072,9233,4346,4609,8114,10555,7344
M3C,3,43.7198321,-79.3368234,"1185 Eglinton Avenue East, Toronto",500.0,1800.0,1.0,3.6,9029,9193,4179,4740,8080,10671,7316
M3H,1,43.75427625454546,-79.4438338090909,"701 Sheppard Avenue West, Toronto",550.0,1900.0,1.0,3.4545454545454546,1522,8228,3157,7807,3284,10502,2241
